event_id,customer_id,event_date,event_type,points_change,points_balance,tier,campaign_id,description
LOY00013421,CUST000011,2024-04-17,Points Earned,200,-226,Bronze,,Event: Points Earned
LOY00013066,CUST000011,2024-10-29,Points Redeemed,-725,-951,Silver,,Event: Points Redeemed
LOY00008484,CUST000012,2022-01-04,Points Earned,151,151,Gold,,Event: Points Earned
LOY00014125,CUST000012,2022-04-18,Points Redeemed,-779,-628,Bronze,CAMP018,Event: Points Redeemed
LOY00008163,CUST000012,2022-11-24,Birthday Bonus,170,-458,Gold,CAMP001,Event: Birthday Bonus
LOY00007611,CUST000012,2023-05-11,Bonus Points,38,-420,Bronze,CAMP019,Event: Bonus Points
LOY00014803,CUST000012,2023-11-12,Points Earned,346,-74,Bronze,,Event: Points Earned
LOY00009376,CUST000012,2023-12-12,Points Earned,141,67,Platinum,,Event: Points Earned
LOY00012043,CUST000012,2024-04-18,Points Redeemed,-491,-424,Gold,CAMP006,Event: Points Redeemed
LOY00005555,CUST000012,2024-06-28,Points Redeemed,-317,-741,Bronze,,Event: Points Redeemed
LOY00013389,CUST000012,2024-07-31,Points Redeemed,-461,-1202,Bronze,CAMP016,Event: Points Redeemed
LOY00009551,CUST000013,2022-10-12,Bonus Points,103,103,Silver,CAMP011,Event: Bonus Points
LOY00000964,CUST000013,2023-03-10,Points Earned,317,420,Bronze,,Event: Points Earned
LOY00008653,CUST000013,2023-04-10,Points Earned,398,818,Platinum,CAMP005,Event: Points Earned
LOY00006813,CUST000014,2023-01-26,Bonus Points,338,338,Bronze,CAMP019,Event: Bonus Points
LOY00006464,CUST000015,2022-06-21,Points Earned,226,226,Gold,CAMP006,Event: Points Earned
LOY00012257,CUST000015,2023-01-10,Points Redeemed,-260,-34,Gold,CAMP016,Event: Points Redeemed
LOY00014496,CUST000015,2024-01-13,Birthday Bonus,122,88,Gold,CAMP002,Event: Birthday Bonus
LOY00013861,CUST000016,2024-01-11,Points Earned,323,323,Bronze,,Event: Points Earned
LOY00012376,CUST000016,2024-08-04,Points Earned,189,512,Silver,CAMP011,Event: Points Earned
LOY00013928,CUST000018,2022-02-27,Birthday Bonus,430,430,Silver,,Event: Birthday Bonus
LOY00014015,CUST000018,2023-02-28,Points Earned,193,623,Bronze,CAMP010,Event: Points Earned
LOY00010499,CUST000019,2024-01-16,Points Redeemed,-815,-815,Silver,CAMP007,Event: Points Redeemed
LOY00005634,CUST000020,2023-02-05,Points Earned,37,37,Bronze,CAMP002,Event: Points Earned
LOY00000182,CUST000020,2023-06-18,Tier Upgraded,0,37,Silver,,Event: Tier Upgraded
LOY00001716,CUST000020,2024-02-20,Points Earned,195,232,Silver,CAMP006,Event: Points Earned
LOY00014359,CUST000020,2024-10-18,Points Earned,207,439,Bronze,,Event: Points Earned
LOY00008194,CUST000021,2022-09-24,Referral Bonus,115,115,Gold,CAMP010,Event: Referral Bonus
LOY00009334,CUST000021,2024-03-13,Points Redeemed,-51,64,Bronze,CAMP016,Event: Points Redeemed
LOY00003812,CUST000022,2023-05-11,Points Earned,146,146,Gold,,Event: Points Earned
LOY00005629,CUST000022,2023-08-05,Bonus Points,192,338,Bronze,CAMP001,Event: Bonus Points
LOY00009680,CUST000023,2022-07-22,Points Redeemed,-351,-351,Bronze,,Event: Points Redeemed
LOY00010529,CUST000024,2023-04-29,Bonus Points,214,214,Bronze,,Event: Bonus Points
LOY00010423,CUST000024,2023-12-12,Points Earned,124,338,Bronze,,Event: Points Earned
LOY00012237,CUST000024,2024-12-16,Points Redeemed,-50,288,Bronze,CAMP008,Event: Points Redeemed
LOY00000708,CUST000025,2022-01-28,Points Earned,497,497,Bronze,CAMP005,Event: Points Earned
LOY00008666,CUST000025,2022-11-05,Points Earned,257,754,Gold,CAMP013,Event: Points Earned
LOY00012462,CUST000025,2023-06-22,Points Earned,241,995,Silver,CAMP002,Event: Points Earned
LOY00010133,CUST000026,2023-05-30,Bonus Points,134,134,Gold,,Event: Bonus Points
LOY00006649,CUST000026,2023-08-09,Points Earned,428,562,Silver,CAMP018,Event: Points Earned
LOY00007167,CUST000026,2024-09-26,Points Earned,88,650,Bronze,,Event: Points Earned
LOY00001599,CUST000027,2022-06-06,Points Earned,387,387,Bronze,,Event: Points Earned
LOY00005871,CUST000027,2023-10-16,Bonus Points,492,879,Bronze,,Event: Bonus Points
LOY00005294,CUST000027,2024-10-12,Points Earned,497,1376,Bronze,,Event: Points Earned
LOY00013966,CUST000028,2022-04-09,Bonus Points,180,180,Silver,,Event: Bonus Points
LOY00005669,CUST000028,2023-03-08,Points Redeemed,-470,-290,Bronze,CAMP018,Event: Points Redeemed
LOY00013281,CUST000028,2023-11-23,Points Earned,428,138,Gold,CAMP015,Event: Points Earned
LOY00008390,CUST000028,2024-04-22,Birthday Bonus,328,466,Silver,,Event: Birthday Bonus
LOY00008234,CUST000028,2024-09-27,Points Earned,20,486,Gold,,Event: Points Earned
LOY00009062,CUST000029,2022-06-18,Tier Downgraded,0,0,Gold,CAMP012,Event: Tier Downgraded
LOY00002042,CUST000029,2022-12-02,Bonus Points,477,477,Gold,,Event: Bonus Points
LOY00014521,CUST000029,2023-02-16,Bonus Points,312,789,Bronze,,Event: Bonus Points
LOY00010375,CUST000029,2024-01-18,Points Redeemed,-929,-140,Silver,CAMP009,Event: Points Redeemed
LOY00009482,CUST000031,2022-05-28,Tier Downgraded,0,0,Bronze,,Event: Tier Downgraded
LOY00007682,CUST000031,2022-12-28,Points Redeemed,-348,-348,Silver,CAMP015,Event: Points Redeemed
LOY00005599,CUST000032,2024-01-28,Bonus Points,475,475,Bronze,,Event: Bonus Points
LOY00010691,CUST000032,2024-06-12,Points Redeemed,-581,-106,Bronze,,Event: Points Redeemed
LOY00004414,CUST000033,2023-01-28,Points Earned,499,499,Gold,,Event: Points Earned
LOY00007055,CUST000033,2023-05-28,Points Earned,330,829,Bronze,,Event: Points Earned
LOY00006379,CUST000033,2023-08-20,Points Earned,407,1236,Gold,,Event: Points Earned
LOY00006770,CUST000033,2024-06-21,Points Earned,481,1717,Bronze,CAMP009,Event: Points Earned
LOY00002331,CUST000034,2024-10-04,Points Earned,141,141,Silver,,Event: Points Earned
LOY00005456,CUST000035,2022-03-02,Points Earned,420,420,Bronze,CAMP015,Event: Points Earned
LOY00014404,CUST000035,2022-03-23,Points Earned,283,703,Silver,,Event: Points Earned
LOY00012834,CUST000035,2022-11-29,Points Earned,246,949,Silver,,Event: Points Earned
LOY00011704,CUST000035,2022-12-22,Birthday Bonus,460,1409,Gold,CAMP012,Event: Birthday Bonus
LOY00014034,CUST000035,2022-12-31,Points Earned,208,1617,Silver,CAMP016,Event: Points Earned
LOY00010199,CUST000035,2023-08-17,Points Earned,13,1630,Bronze,,Event: Points Earned
LOY00002386,CUST000036,2022-03-03,Points Earned,307,307,Bronze,,Event: Points Earned
LOY00000158,CUST000036,2022-03-12,Points Earned,236,543,Silver,CAMP008,Event: Points Earned
LOY00001653,CUST000036,2022-06-05,Points Redeemed,-554,-11,Silver,,Event: Points Redeemed
LOY00011359,CUST000036,2023-07-13,Points Redeemed,-167,-178,Silver,,Event: Points Redeemed
LOY00004047,CUST000036,2023-11-27,Points Earned,56,-122,Bronze,,Event: Points Earned
LOY00005923,CUST000037,2022-12-14,Tier Upgraded,0,0,Silver,CAMP002,Event: Tier Upgraded
LOY00010690,CUST000037,2024-03-12,Points Earned,158,158,Silver,,Event: Points Earned
LOY00010959,CUST000037,2024-10-21,Points Earned,89,247,Silver,CAMP015,Event: Points Earned
LOY00007599,CUST000037,2024-12-19,Birthday Bonus,53,300,Gold,,Event: Birthday Bonus
LOY00002478,CUST000038,2022-08-28,Points Redeemed,-268,-268,Bronze,,Event: Points Redeemed
LOY00013936,CUST000038,2023-12-08,Points Earned,144,-124,Bronze,,Event: Points Earned
LOY00000220,CUST000038,2024-06-06,Birthday Bonus,57,-67,Silver,,Event: Birthday Bonus
LOY00007533,CUST000038,2024-12-26,Tier Downgraded,0,-67,Silver,CAMP012,Event: Tier Downgraded
LOY00008659,CUST000039,2022-04-05,Points Earned,177,177,Bronze,,Event: Points Earned
LOY00007924,CUST000039,2022-04-19,Points Earned,108,285,Silver,,Event: Points Earned
LOY00000793,CUST000039,2024-09-24,Points Earned,468,753,Bronze,,Event: Points Earned
LOY00005123,CUST000040,2022-01-02,Points Earned,394,394,Silver,CAMP009,Event: Points Earned
LOY00000546,CUST000040,2022-04-30,Points Earned,135,529,Gold,,Event: Points Earned
LOY00013471,CUST000040,2022-07-19,Bonus Points,265,794,Silver,,Event: Bonus Points
LOY00002305,CUST000040,2024-02-02,Bonus Points,82,876,Silver,,Event: Bonus Points
LOY00004657,CUST000040,2024-05-24,Points Redeemed,-501,375,Silver,,Event: Points Redeemed
LOY00012046,CUST000040,2024-07-18,Points Earned,15,390,Silver,CAMP010,Event: Points Earned
LOY00013262,CUST000041,2022-03-31,Tier Upgraded,0,0,Bronze,CAMP020,Event: Tier Upgraded
LOY00000171,CUST000041,2022-08-16,Bonus Points,361,361,Silver,,Event: Bonus Points
LOY00008314,CUST000041,2023-02-12,Bonus Points,351,712,Bronze,CAMP004,Event: Bonus Points
LOY00014236,CUST000041,2023-06-28,Referral Bonus,63,775,Platinum,CAMP014,Event: Referral Bonus
LOY00013307,CUST000041,2024-03-06,Points Redeemed,-783,-8,Silver,CAMP010,Event: Points Redeemed
LOY00012662,CUST000041,2024-05-14,Points Redeemed,-377,-385,Gold,CAMP005,Event: Points Redeemed
LOY00009263,CUST000042,2022-01-14,Points Redeemed,-852,-852,Silver,CAMP006,Event: Points Redeemed
LOY00010165,CUST000042,2022-05-03,Points Earned,135,-717,Bronze,,Event: Points Earned
LOY00010614,CUST000042,2022-09-02,Tier Upgraded,0,-717,Bronze,,Event: Tier Upgraded
LOY00001637,CUST000042,2023-03-10,Points Redeemed,-918,-1635,Silver,CAMP010,Event: Points Redeemed
LOY00005639,CUST000042,2024-09-22,Tier Downgraded,0,-1635,Silver,CAMP001,Event: Tier Downgraded
LOY00005389,CUST000042,2024-10-21,Points Earned,318,-1317,Gold,CAMP006,Event: Points Earned
LOY00011787,CUST000042,2024-12-15,Points Redeemed,-61,-1378,Bronze,CAMP019,Event: Points Redeemed
LOY00012654,CUST000043,2023-04-08,Bonus Points,83,83,Gold,CAMP005,Event: Bonus Points
LOY00010263,CUST000043,2023-04-30,Points Earned,69,152,Gold,,Event: Points Earned
LOY00004401,CUST000043,2023-06-15,Points Earned,201,353,Silver,,Event: Points Earned
LOY00007762,CUST000043,2023-09-27,Points Redeemed,-169,184,Silver,CAMP009,Event: Points Redeemed
LOY00004160,CUST000043,2024-06-17,Points Earned,308,492,Gold,,Event: Points Earned
LOY00010432,CUST000044,2022-11-14,Points Earned,388,388,Bronze,,Event: Points Earned
LOY00000284,CUST000044,2023-02-19,Referral Bonus,418,806,Bronze,,Event: Referral Bonus
LOY00003474,CUST000044,2024-01-16,Points Redeemed,-453,353,Silver,CAMP018,Event: Points Redeemed
LOY00009959,CUST000045,2023-09-20,Points Earned,381,381,Silver,CAMP004,Event: Points Earned
LOY00012572,CUST000045,2024-04-05,Bonus Points,40,421,Bronze,,Event: Bonus Points
LOY00010389,CUST000045,2024-04-28,Bonus Points,58,479,Gold,CAMP003,Event: Bonus Points
LOY00001809,CUST000046,2022-07-03,Birthday Bonus,198,198,Platinum,CAMP012,Event: Birthday Bonus
LOY00003612,CUST000046,2022-10-10,Bonus Points,478,676,Silver,CAMP019,Event: Bonus Points
LOY00008578,CUST000046,2023-11-27,Points Earned,226,902,Platinum,,Event: Points Earned
LOY00014421,CUST000046,2024-01-08,Points Earned,213,1115,Silver,,Event: Points Earned
LOY00013442,CUST000047,2022-02-24,Tier Upgraded,0,0,Silver,,Event: Tier Upgraded
LOY00002232,CUST000047,2022-11-02,Bonus Points,445,445,Silver,CAMP005,Event: Bonus Points
LOY00003648,CUST000047,2023-09-09,Points Earned,40,485,Silver,,Event: Points Earned
LOY00002388,CUST000048,2022-02-05,Points Redeemed,-638,-638,Gold,CAMP011,Event: Points Redeemed
LOY00003244,CUST000048,2022-03-01,Bonus Points,21,-617,Bronze,,Event: Bonus Points
LOY00012605,CUST000048,2022-09-11,Points Earned,77,-540,Silver,CAMP009,Event: Points Earned
LOY00001125,CUST000048,2023-06-20,Bonus Points,171,-369,Bronze,,Event: Bonus Points
LOY00002439,CUST000048,2023-06-21,Points Earned,201,-168,Gold,CAMP018,Event: Points Earned
LOY00006015,CUST000048,2023-11-28,Points Redeemed,-951,-1119,Silver,,Event: Points Redeemed
LOY00009949,CUST000049,2022-03-20,Points Redeemed,-223,-223,Silver,,Event: Points Redeemed
LOY00014941,CUST000049,2022-05-20,Points Redeemed,-654,-877,Silver,,Event: Points Redeemed
LOY00012859,CUST000049,2022-07-30,Points Redeemed,-651,-1528,Bronze,CAMP007,Event: Points Redeemed
LOY00002300,CUST000049,2023-02-27,Points Earned,244,-1284,Bronze,,Event: Points Earned
LOY00004808,CUST000049,2023-12-18,Birthday Bonus,327,-957,Gold,,Event: Birthday Bonus
LOY00001463,CUST000049,2024-08-19,Bonus Points,319,-638,Gold,CAMP019,Event: Bonus Points
LOY00008647,CUST000050,2023-02-16,Points Redeemed,-205,-205,Bronze,,Event: Points Redeemed
LOY00009726,CUST000050,2024-03-11,Points Earned,33,-172,Bronze,CAMP011,Event: Points Earned
LOY00006363,CUST000050,2024-12-22,Birthday Bonus,377,205,Gold,CAMP005,Event: Birthday Bonus
LOY00004113,CUST000051,2023-12-23,Points Earned,130,130,Gold,,Event: Points Earned
LOY00003057,CUST000051,2024-11-06,Bonus Points,496,626,Silver,CAMP002,Event: Bonus Points
LOY00012246,CUST000052,2023-08-16,Birthday Bonus,313,313,Bronze,CAMP008,Event: Birthday Bonus
LOY00013315,CUST000053,2022-06-24,Points Redeemed,-621,-621,Bronze,CAMP005,Event: Points Redeemed
LOY00009049,CUST000054,2022-02-16,Points Earned,433,433,Gold,CAMP010,Event: Points Earned
LOY00001937,CUST000054,2023-02-04,Points Earned,375,808,Silver,,Event: Points Earned
LOY00001460,CUST000054,2023-05-17,Tier Upgraded,0,808,Bronze,CAMP010,Event: Tier Upgraded
LOY00012756,CUST000054,2023-10-23,Birthday Bonus,266,1074,Silver,,Event: Birthday Bonus
LOY00003082,CUST000054,2024-01-23,Points Earned,431,1505,Bronze,CAMP009,Event: Points Earned
LOY00011512,CUST000055,2024-06-10,Points Earned,148,148,Gold,CAMP005,Event: Points Earned
LOY00010472,CUST000055,2024-07-31,Points Earned,75,223,Bronze,,Event: Points Earned
LOY00013597,CUST000055,2024-09-13,Referral Bonus,457,680,Bronze,CAMP012,Event: Referral Bonus
LOY00006397,CUST000055,2024-12-14,Points Redeemed,-248,432,Bronze,,Event: Points Redeemed
LOY00000842,CUST000056,2023-01-29,Points Earned,311,311,Bronze,,Event: Points Earned
LOY00008696,CUST000056,2023-02-20,Points Earned,338,649,Silver,,Event: Points Earned
LOY00013777,CUST000056,2023-10-13,Points Earned,404,1053,Gold,CAMP007,Event: Points Earned
LOY00010671,CUST000056,2024-01-15,Points Earned,114,1167,Gold,CAMP007,Event: Points Earned
LOY00012382,CUST000056,2024-08-10,Points Earned,336,1503,Silver,CAMP014,Event: Points Earned
LOY00006029,CUST000057,2022-04-12,Tier Upgraded,0,0,Gold,CAMP010,Event: Tier Upgraded
LOY00005730,CUST000058,2024-02-15,Points Earned,177,177,Bronze,,Event: Points Earned
LOY00004728,CUST000058,2024-08-20,Birthday Bonus,137,314,Bronze,CAMP010,Event: Birthday Bonus
LOY00006234,CUST000058,2024-11-09,Bonus Points,316,630,Bronze,CAMP016,Event: Bonus Points
LOY00003878,CUST000059,2023-02-01,Points Earned,66,66,Silver,CAMP014,Event: Points Earned
LOY00003797,CUST000059,2024-11-11,Bonus Points,484,550,Gold,,Event: Bonus Points
LOY00004992,CUST000060,2023-01-31,Points Earned,321,321,Bronze,CAMP008,Event: Points Earned
LOY00004387,CUST000060,2024-04-03,Points Earned,388,709,Platinum,CAMP001,Event: Points Earned
LOY00002582,CUST000061,2023-06-06,Points Redeemed,-448,-448,Silver,,Event: Points Redeemed
LOY00001130,CUST000062,2023-09-14,Points Redeemed,-768,-768,Bronze,,Event: Points Redeemed
LOY00012016,CUST000062,2023-10-11,Points Earned,343,-425,Silver,CAMP010,Event: Points Earned
LOY00002028,CUST000062,2024-05-09,Points Earned,466,41,Bronze,,Event: Points Earned
LOY00011554,CUST000062,2024-07-10,Points Redeemed,-259,-218,Bronze,,Event: Points Redeemed
LOY00011938,CUST000064,2022-03-02,Points Earned,452,452,Silver,CAMP020,Event: Points Earned
LOY00003071,CUST000064,2024-02-18,Points Redeemed,-325,127,Bronze,,Event: Points Redeemed
LOY00003690,CUST000065,2022-03-09,Tier Upgraded,0,0,Silver,,Event: Tier Upgraded
LOY00005141,CUST000065,2022-06-14,Tier Upgraded,0,0,Bronze,,Event: Tier Upgraded
LOY00012789,CUST000066,2022-08-10,Points Redeemed,-459,-459,Bronze,CAMP017,Event: Points Redeemed
LOY00013793,CUST000066,2022-08-22,Points Redeemed,-758,-1217,Silver,CAMP007,Event: Points Redeemed
LOY00000727,CUST000066,2022-11-29,Points Earned,245,-972,Bronze,CAMP015,Event: Points Earned
LOY00009199,CUST000066,2023-08-19,Points Earned,374,-598,Silver,,Event: Points Earned
LOY00005136,CUST000066,2024-01-05,Points Earned,211,-387,Platinum,,Event: Points Earned
LOY00014152,CUST000066,2024-01-06,Points Redeemed,-843,-1230,Silver,,Event: Points Redeemed
LOY00012627,CUST000066,2024-01-29,Birthday Bonus,204,-1026,Gold,,Event: Birthday Bonus
LOY00004632,CUST000066,2024-02-09,Points Redeemed,-380,-1406,Silver,,Event: Points Redeemed
LOY00007278,CUST000067,2022-09-09,Tier Downgraded,0,0,Gold,CAMP019,Event: Tier Downgraded
LOY00014525,CUST000067,2023-10-09,Points Earned,54,54,Bronze,,Event: Points Earned
LOY00011239,CUST000067,2023-11-28,Points Earned,412,466,Bronze,,Event: Points Earned
LOY00006973,CUST000067,2024-01-17,Points Redeemed,-259,207,Silver,CAMP011,Event: Points Redeemed
LOY00011398,CUST000067,2024-11-21,Points Earned,377,584,Bronze,,Event: Points Earned
LOY00000338,CUST000068,2022-02-06,Bonus Points,286,286,Bronze,,Event: Bonus Points
LOY00010425,CUST000068,2022-06-09,Points Redeemed,-805,-519,Bronze,,Event: Points Redeemed
LOY00010397,CUST000069,2022-02-25,Points Redeemed,-758,-758,Platinum,,Event: Points Redeemed
LOY00006886,CUST000069,2023-12-06,Bonus Points,218,-540,Bronze,CAMP010,Event: Bonus Points
LOY00009864,CUST000070,2022-02-07,Points Redeemed,-126,-126,Silver,,Event: Points Redeemed
LOY00005339,CUST000070,2023-05-07,Bonus Points,150,24,Gold,CAMP016,Event: Bonus Points
LOY00014389,CUST000070,2023-08-20,Birthday Bonus,343,367,Gold,CAMP017,Event: Birthday Bonus
LOY00010997,CUST000070,2024-02-06,Points Redeemed,-944,-577,Bronze,CAMP010,Event: Points Redeemed
LOY00008832,CUST000070,2024-06-21,Points Redeemed,-369,-946,Gold,,Event: Points Redeemed
LOY00004816,CUST000071,2022-05-14,Points Earned,387,387,Gold,,Event: Points Earned
LOY00014915,CUST000071,2023-02-16,Points Redeemed,-862,-475,Bronze,CAMP003,Event: Points Redeemed
LOY00012798,CUST000071,2023-07-30,Points Earned,175,-300,Bronze,,Event: Points Earned
LOY00001061,CUST000071,2023-09-03,Points Earned,398,98,Bronze,CAMP003,Event: Points Earned
LOY00000004,CUST000071,2024-05-09,Points Redeemed,-471,-373,Silver,CAMP006,Event: Points Redeemed
LOY00008589,CUST000071,2024-09-27,Points Redeemed,-943,-1316,Silver,CAMP003,Event: Points Redeemed
LOY00010256,CUST000072,2023-01-19,Points Earned,449,449,Gold,CAMP002,Event: Points Earned
LOY00011792,CUST000072,2023-03-17,Points Earned,143,592,Bronze,,Event: Points Earned
LOY00007805,CUST000072,2023-06-19,Points Earned,356,948,Gold,CAMP017,Event: Points Earned
LOY00002012,CUST000073,2023-08-14,Points Redeemed,-358,-358,Gold,,Event: Points Redeemed
LOY00004073,CUST000073,2023-08-22,Points Earned,220,-138,Silver,,Event: Points Earned
LOY00012000,CUST000074,2022-12-07,Points Earned,334,334,Platinum,,Event: Points Earned
LOY00011199,CUST000074,2023-03-25,Points Earned,466,800,Gold,,Event: Points Earned
LOY00012610,CUST000074,2024-06-14,Points Earned,225,1025,Bronze,CAMP014,Event: Points Earned
LOY00008045,CUST000074,2024-12-31,Points Earned,241,1266,Platinum,,Event: Points Earned
LOY00014487,CUST000075,2022-01-19,Points Earned,457,457,Bronze,,Event: Points Earned
LOY00009515,CUST000075,2022-05-02,Bonus Points,303,760,Bronze,,Event: Bonus Points
LOY00008766,CUST000075,2022-05-30,Tier Upgraded,0,760,Silver,,Event: Tier Upgraded
LOY00006528,CUST000075,2023-03-12,Points Earned,147,907,Bronze,,Event: Points Earned
LOY00014242,CUST000075,2023-11-29,Points Earned,85,992,Bronze,,Event: Points Earned
LOY00006479,CUST000076,2022-06-23,Points Redeemed,-396,-396,Platinum,CAMP018,Event: Points Redeemed
LOY00004660,CUST000076,2023-11-13,Points Redeemed,-202,-598,Silver,CAMP010,Event: Points Redeemed
LOY00012501,CUST000077,2022-10-03,Referral Bonus,122,122,Gold,,Event: Referral Bonus
LOY00005200,CUST000077,2023-07-28,Points Earned,160,282,Bronze,,Event: Points Earned
LOY00005583,CUST000077,2024-02-14,Bonus Points,318,600,Gold,,Event: Bonus Points
LOY00007678,CUST000077,2024-09-08,Points Earned,56,656,Silver,,Event: Points Earned
LOY00011425,CUST000077,2024-09-29,Birthday Bonus,149,805,Bronze,,Event: Birthday Bonus
LOY00005236,CUST000078,2022-09-06,Points Earned,83,83,Silver,,Event: Points Earned
LOY00005095,CUST000078,2023-09-23,Points Earned,180,263,Platinum,,Event: Points Earned
LOY00013590,CUST000078,2023-10-22,Bonus Points,155,418,Silver,CAMP015,Event: Bonus Points
LOY00014082,CUST000078,2024-11-30,Referral Bonus,487,905,Gold,,Event: Referral Bonus
LOY00000922,CUST000079,2022-05-23,Points Earned,310,310,Silver,,Event: Points Earned
LOY00007252,CUST000079,2023-06-28,Points Redeemed,-321,-11,Bronze,,Event: Points Redeemed
LOY00013344,CUST000079,2023-09-26,Points Earned,333,322,Bronze,,Event: Points Earned
LOY00003088,CUST000080,2022-06-26,Bonus Points,241,241,Platinum,,Event: Bonus Points
LOY00008129,CUST000080,2023-10-13,Welcome Bonus,462,703,Silver,,Event: Welcome Bonus
LOY00007031,CUST000081,2022-01-15,Points Redeemed,-155,-155,Gold,,Event: Points Redeemed
LOY00006284,CUST000081,2023-02-13,Points Redeemed,-873,-1028,Platinum,,Event: Points Redeemed
LOY00005931,CUST000081,2023-08-17,Birthday Bonus,445,-583,Gold,CAMP010,Event: Birthday Bonus
LOY00005573,CUST000081,2023-11-14,Points Earned,324,-259,Gold,,Event: Points Earned
LOY00011568,CUST000082,2022-05-16,Bonus Points,176,176,Silver,CAMP012,Event: Bonus Points
LOY00001163,CUST000082,2022-11-18,Points Earned,161,337,Silver,,Event: Points Earned
LOY00007182,CUST000083,2023-04-22,Points Earned,141,141,Gold,CAMP014,Event: Points Earned
LOY00000085,CUST000083,2023-05-21,Points Redeemed,-340,-199,Silver,,Event: Points Redeemed
LOY00013773,CUST000083,2023-11-16,Birthday Bonus,278,79,Gold,CAMP009,Event: Birthday Bonus
LOY00009470,CUST000083,2024-06-17,Bonus Points,371,450,Gold,CAMP020,Event: Bonus Points
LOY00002418,CUST000084,2022-02-28,Points Redeemed,-83,-83,Bronze,,Event: Points Redeemed
LOY00010925,CUST000084,2023-01-23,Referral Bonus,110,27,Silver,CAMP005,Event: Referral Bonus
LOY00001063,CUST000084,2023-01-27,Points Earned,425,452,Gold,CAMP012,Event: Points Earned
LOY00006547,CUST000084,2024-10-23,Points Earned,445,897,Bronze,,Event: Points Earned
LOY00001099,CUST000085,2023-03-21,Points Redeemed,-890,-890,Bronze,CAMP015,Event: Points Redeemed
LOY00006054,CUST000085,2024-10-24,Referral Bonus,381,-509,Bronze,,Event: Referral Bonus
LOY00004287,CUST000086,2024-01-05,Birthday Bonus,83,83,Bronze,,Event: Birthday Bonus
LOY00014383,CUST000086,2024-10-03,Points Earned,245,328,Bronze,CAMP007,Event: Points Earned
LOY00006143,CUST000086,2024-10-27,Tier Upgraded,0,328,Bronze,,Event: Tier Upgraded
LOY00007948,CUST000087,2023-02-15,Referral Bonus,436,436,Silver,,Event: Referral Bonus
