interaction_id,customer_id,interaction_date,interaction_type,reason,agent_id,duration_minutes,resolution_status,satisfaction_score,notes
CRM0001586,CUST003136,2022-01-10,In-Person,Return Request,AGENT034,20.0,Pending,5.0,Customer satisfied
CRM0005983,CUST000147,2022-01-10,In-Person,Return Request,AGENT042,32.0,Resolved,3.0,Issue escalated
CRM0005121,CUST000323,2022-01-11,Chat,Technical Support,AGENT019,38.0,Resolved,4.0,Customer satisfied
CRM0004403,CUST002623,2022-01-11,In-Person,Billing Issue,AGENT018,33.0,Resolved,5.0,Complex issue
CRM0004237,CUST003887,2022-01-11,Phone Call,Feedback,AGENT048,14.0,Closed,4.0,Resolved quickly
CRM0006688,CUST000667,2022-01-11,Phone Call,Return Request,AGENT050,40.0,Escalated,5.0,Customer satisfied
CRM0001973,CUST000363,2022-01-11,Social Media,Complaint,AGENT047,3.0,Pending,1.0,Follow-up needed
CRM0004087,CUST001291,2022-01-11,In-Person,Complaint,AGENT047,,Resolved,3.0,Customer satisfied
CRM0005155,CUST002164,2022-01-11,Social Media,General Question,AGENT035,46.0,Resolved,4.0,Follow-up needed
CRM0005372,CUST002831,2022-01-11,Chat,Order Status,AGENT050,34.0,Escalated,5.0,
CRM0003714,CUST001470,2022-01-12,Chat,General Question,AGENT026,51.0,Resolved,4.0,Complex issue
CRM0001005,CUST004076,2022-01-12,Social Media,Order Status,AGENT040,39.0,Pending,,Customer satisfied
CRM0004392,CUST000031,2022-01-12,Email,General Question,AGENT050,,Resolved,3.0,Customer satisfied
CRM0003619,CUST001941,2022-01-12,Email,Billing Issue,AGENT020,42.0,Escalated,5.0,Customer satisfied
CRM0002629,CUST000725,2022-01-12,Social Media,Feedback,AGENT032,13.0,Resolved,4.0,Customer satisfied
CRM0003305,CUST000665,2022-01-12,Social Media,Feedback,AGENT036,20.0,Resolved,,Issue escalated
CRM0000644,CUST003546,2022-01-12,Social Media,Return Request,AGENT048,17.0,Resolved,5.0,Follow-up needed
CRM0002564,CUST000810,2022-01-12,Chat,Order Status,AGENT019,,Pending,,Issue escalated
CRM0002829,CUST003088,2022-01-12,Phone Call,Product Inquiry,AGENT010,,Resolved,4.0,Follow-up needed
CRM0007719,CUST003310,2022-01-12,Phone Call,Feedback,AGENT017,,Resolved,2.0,Resolved quickly
CRM0005827,CUST001751,2022-01-13,Phone Call,General Question,AGENT025,,Closed,5.0,
CRM0000756,CUST001225,2022-01-13,Chat,Return Request,AGENT048,16.0,Closed,3.0,Resolved quickly
CRM0003246,CUST001658,2022-01-13,Email,Feedback,AGENT044,4.0,Resolved,1.0,
CRM0006531,CUST002367,2022-01-13,Email,Order Status,AGENT049,56.0,Resolved,5.0,Resolved quickly
CRM0000366,CUST003521,2022-01-13,Social Media,Order Status,AGENT023,,Closed,4.0,Resolved quickly
CRM0003879,CUST001523,2022-01-13,Social Media,Product Inquiry,AGENT004,57.0,Resolved,4.0,Resolved quickly
CRM0000765,CUST003265,2022-01-13,Email,Technical Support,AGENT024,,Resolved,,Follow-up needed
CRM0006741,CUST001757,2022-01-13,Email,Complaint,AGENT028,,Escalated,4.0,Complex issue
CRM0007620,CUST004891,2022-01-14,Social Media,Complaint,AGENT050,42.0,Resolved,4.0,
CRM0006603,CUST003672,2022-01-14,Phone Call,Order Status,AGENT017,,Closed,5.0,Issue escalated
CRM0003447,CUST001475,2022-01-14,Chat,Product Inquiry,AGENT043,,Escalated,3.0,Issue escalated
CRM0003765,CUST004585,2022-01-14,Phone Call,Billing Issue,AGENT011,,Pending,4.0,Issue escalated
CRM0005477,CUST002847,2022-01-14,Social Media,Order Status,AGENT026,33.0,Resolved,5.0,Follow-up needed
CRM0000328,CUST003021,2022-01-14,Email,General Question,AGENT048,52.0,Pending,4.0,Resolved quickly
CRM0002626,CUST003421,2022-01-14,Email,Order Status,AGENT044,31.0,Resolved,3.0,Customer satisfied
CRM0006334,CUST001433,2022-01-14,Phone Call,Feedback,AGENT039,,Resolved,2.0,Resolved quickly
CRM0006251,CUST003238,2022-01-14,Social Media,General Question,AGENT020,12.0,Closed,4.0,
CRM0003077,CUST004031,2022-01-15,Phone Call,Feedback,AGENT001,,Pending,1.0,Resolved quickly
CRM0006092,CUST004866,2022-01-15,Email,Return Request,AGENT034,,Pending,4.0,Resolved quickly
CRM0003800,CUST002470,2022-01-15,In-Person,Feedback,AGENT049,36.0,Escalated,4.0,Issue escalated
CRM0007192,CUST004041,2022-01-15,Email,Technical Support,AGENT038,41.0,Resolved,5.0,Customer satisfied
CRM0001285,CUST004856,2022-01-15,Email,Product Inquiry,AGENT010,29.0,Pending,5.0,
CRM0006697,CUST003005,2022-01-15,Email,Complaint,AGENT009,39.0,Closed,2.0,
CRM0000738,CUST004877,2022-01-15,Social Media,Billing Issue,AGENT027,,Closed,4.0,
CRM0006042,CUST002238,2022-01-16,Chat,Return Request,AGENT028,,Closed,5.0,Customer satisfied
CRM0002328,CUST000732,2022-01-16,Chat,Product Inquiry,AGENT048,,Pending,3.0,Follow-up needed
CRM0000053,CUST003565,2022-01-16,Social Media,Order Status,AGENT036,11.0,Resolved,1.0,Follow-up needed
CRM0001277,CUST003650,2022-01-16,In-Person,Technical Support,AGENT009,27.0,Resolved,4.0,Customer satisfied
CRM0003885,CUST002595,2022-01-16,In-Person,Product Inquiry,AGENT044,26.0,Resolved,5.0,
CRM0000008,CUST000218,2022-01-16,Phone Call,Feedback,AGENT007,,Pending,4.0,Complex issue
CRM0005941,CUST000128,2022-01-16,Phone Call,Billing Issue,AGENT011,21.0,Pending,3.0,Follow-up needed
CRM0001542,CUST000023,2022-01-16,In-Person,Feedback,AGENT037,8.0,Pending,1.0,Complex issue
CRM0007921,CUST000900,2022-01-17,Phone Call,Billing Issue,AGENT023,36.0,Pending,4.0,Issue escalated
CRM0004357,CUST004918,2022-01-17,Phone Call,Product Inquiry,AGENT011,26.0,Resolved,3.0,Customer satisfied
CRM0007252,CUST003301,2022-01-17,Phone Call,Feedback,AGENT050,57.0,Pending,5.0,Customer satisfied
CRM0003618,CUST000182,2022-01-17,Chat,Return Request,AGENT048,,Pending,5.0,Customer satisfied
CRM0007316,CUST002567,2022-01-17,Phone Call,General Question,AGENT020,47.0,Resolved,4.0,Customer satisfied
CRM0004243,CUST000357,2022-01-17,Chat,Product Inquiry,AGENT015,,Closed,3.0,Complex issue
CRM0005357,CUST002463,2022-01-17,Email,Return Request,AGENT008,32.0,Resolved,4.0,Complex issue
CRM0001547,CUST000041,2022-01-17,Phone Call,General Question,AGENT050,26.0,Escalated,3.0,Customer satisfied
CRM0002068,CUST000674,2022-01-17,In-Person,Product Inquiry,AGENT014,,Resolved,4.0,Resolved quickly
CRM0001393,CUST001964,2022-01-18,In-Person,Technical Support,AGENT049,54.0,Pending,5.0,Follow-up needed
CRM0002121,CUST002991,2022-01-18,Social Media,Feedback,AGENT001,,Resolved,4.0,Resolved quickly
CRM0007024,CUST003145,2022-01-18,In-Person,Technical Support,AGENT013,,Resolved,,Follow-up needed
CRM0003705,CUST003057,2022-01-18,In-Person,Order Status,AGENT037,52.0,Resolved,5.0,Customer satisfied
CRM0002179,CUST003817,2022-01-19,Chat,Complaint,AGENT005,,Resolved,3.0,Complex issue
CRM0004503,CUST004040,2022-01-19,Phone Call,Return Request,AGENT033,56.0,Escalated,5.0,Customer satisfied
CRM0003066,CUST003900,2022-01-19,In-Person,Billing Issue,AGENT041,39.0,Resolved,2.0,Issue escalated
CRM0001947,CUST004972,2022-01-19,In-Person,General Question,AGENT029,,Pending,5.0,Follow-up needed
CRM0005152,CUST004684,2022-01-19,In-Person,Order Status,AGENT006,20.0,Closed,4.0,Issue escalated
CRM0005553,CUST001413,2022-01-19,Chat,Technical Support,AGENT025,21.0,Resolved,5.0,Customer satisfied
CRM0003362,CUST002852,2022-01-19,Social Media,Billing Issue,AGENT034,51.0,Escalated,3.0,Complex issue
CRM0007546,CUST004830,2022-01-19,Email,General Question,AGENT034,,Pending,5.0,
CRM0002727,CUST003511,2022-01-20,Social Media,Complaint,AGENT033,,Escalated,,Complex issue
CRM0003908,CUST003323,2022-01-20,Email,Billing Issue,AGENT034,23.0,Resolved,,Customer satisfied
CRM0005010,CUST002875,2022-01-20,Chat,Product Inquiry,AGENT002,22.0,Resolved,5.0,Issue escalated
CRM0005782,CUST003455,2022-01-20,Social Media,Return Request,AGENT047,24.0,Pending,5.0,Resolved quickly
CRM0002393,CUST000948,2022-01-20,Chat,Product Inquiry,AGENT045,31.0,Pending,3.0,Customer satisfied
CRM0007901,CUST001768,2022-01-20,Email,Complaint,AGENT001,56.0,Resolved,5.0,Resolved quickly
CRM0006017,CUST000351,2022-01-21,In-Person,Billing Issue,AGENT037,48.0,Resolved,3.0,Issue escalated
CRM0002634,CUST002924,2022-01-21,Chat,Product Inquiry,AGENT006,,Escalated,3.0,Issue escalated
CRM0001575,CUST000627,2022-01-21,Phone Call,General Question,AGENT029,,Escalated,4.0,Customer satisfied
CRM0005465,CUST004864,2022-01-21,Social Media,Technical Support,AGENT036,12.0,Resolved,5.0,Customer satisfied
CRM0004398,CUST004922,2022-01-22,Email,Technical Support,AGENT049,,Resolved,4.0,Issue escalated
CRM0002237,CUST002332,2022-01-22,Social Media,Complaint,AGENT006,,Resolved,4.0,Resolved quickly
CRM0006826,CUST003013,2022-01-22,In-Person,Product Inquiry,AGENT032,14.0,Resolved,5.0,Resolved quickly
CRM0006307,CUST004359,2022-01-22,Email,Order Status,AGENT026,,Resolved,5.0,Complex issue
CRM0005775,CUST000001,2022-01-23,Chat,Order Status,AGENT048,17.0,Pending,5.0,Follow-up needed
CRM0005578,CUST000421,2022-01-23,Phone Call,Feedback,AGENT037,58.0,Resolved,1.0,
CRM0007281,CUST001655,2022-01-23,Phone Call,Product Inquiry,AGENT041,,Escalated,4.0,
CRM0001641,CUST004797,2022-01-23,Social Media,Complaint,AGENT011,,Resolved,2.0,Complex issue
CRM0003238,CUST000447,2022-01-23,Chat,Complaint,AGENT036,,Escalated,,Customer satisfied
CRM0006401,CUST004824,2022-01-24,In-Person,Billing Issue,AGENT008,,Closed,4.0,Follow-up needed
CRM0003323,CUST004500,2022-01-24,Email,Order Status,AGENT025,19.0,Resolved,4.0,
CRM0001840,CUST002008,2022-01-24,Phone Call,Feedback,AGENT008,,Pending,4.0,Follow-up needed
CRM0000109,CUST003328,2022-01-24,Email,Return Request,AGENT041,,Closed,4.0,
CRM0006467,CUST001576,2022-01-24,Phone Call,Return Request,AGENT045,35.0,Resolved,3.0,Follow-up needed
CRM0003335,CUST004648,2022-01-25,In-Person,Technical Support,AGENT050,41.0,Resolved,4.0,Resolved quickly
CRM0002339,CUST003542,2022-01-25,In-Person,Product Inquiry,AGENT024,55.0,Pending,,
CRM0005212,CUST000507,2022-01-25,Phone Call,Product Inquiry,AGENT032,51.0,Resolved,2.0,Resolved quickly
CRM0000688,CUST003030,2022-01-25,Social Media,Return Request,AGENT009,,Resolved,,Issue escalated
CRM0000229,CUST000168,2022-01-26,Phone Call,Feedback,AGENT026,60.0,Resolved,,
CRM0000405,CUST004910,2022-01-26,Email,General Question,AGENT023,,Resolved,4.0,
CRM0000530,CUST002192,2022-01-26,Phone Call,Billing Issue,AGENT004,34.0,Resolved,4.0,Issue escalated
CRM0005160,CUST001803,2022-01-26,In-Person,Order Status,AGENT043,25.0,Closed,3.0,
CRM0002402,CUST003877,2022-01-26,Phone Call,Billing Issue,AGENT014,,Escalated,5.0,Complex issue
CRM0007034,CUST000740,2022-01-26,Chat,General Question,AGENT007,,Resolved,1.0,Customer satisfied
CRM0000219,CUST002089,2022-01-26,Phone Call,Complaint,AGENT037,17.0,Closed,3.0,Customer satisfied
CRM0003858,CUST001692,2022-01-26,Chat,Complaint,AGENT034,,Closed,3.0,Follow-up needed
CRM0004106,CUST000357,2022-01-27,Phone Call,Return Request,AGENT006,,Pending,4.0,
CRM0006771,CUST001555,2022-01-27,Phone Call,Technical Support,AGENT018,35.0,Resolved,5.0,
CRM0006633,CUST000330,2022-01-27,Email,Technical Support,AGENT028,42.0,Resolved,3.0,
CRM0003999,CUST002106,2022-01-27,In-Person,Feedback,AGENT013,57.0,Pending,5.0,Complex issue
CRM0005424,CUST002331,2022-01-27,Phone Call,Order Status,AGENT036,22.0,Resolved,3.0,
CRM0000548,CUST004178,2022-01-27,Email,General Question,AGENT020,41.0,Escalated,4.0,Resolved quickly
CRM0007782,CUST001950,2022-01-27,Chat,Billing Issue,AGENT017,,Pending,3.0,Follow-up needed
CRM0000885,CUST004527,2022-01-27,Email,Feedback,AGENT017,22.0,Escalated,5.0,Issue escalated
CRM0003513,CUST002725,2022-01-27,Email,Billing Issue,AGENT010,12.0,Escalated,5.0,Customer satisfied
CRM0003022,CUST003408,2022-01-27,In-Person,Feedback,AGENT005,10.0,Pending,1.0,
CRM0007384,CUST002381,2022-01-27,Email,Technical Support,AGENT042,39.0,Resolved,4.0,Resolved quickly
CRM0001261,CUST004707,2022-01-27,Social Media,Feedback,AGENT028,35.0,Resolved,4.0,Customer satisfied
CRM0002047,CUST000317,2022-01-28,Social Media,Billing Issue,AGENT037,60.0,Resolved,4.0,Follow-up needed
CRM0002225,CUST001053,2022-01-28,Social Media,Order Status,AGENT026,21.0,Resolved,4.0,Complex issue
CRM0007991,CUST003839,2022-01-28,Chat,Return Request,AGENT043,19.0,Resolved,3.0,Customer satisfied
CRM0002764,CUST000485,2022-01-28,Chat,General Question,AGENT004,35.0,Pending,,Follow-up needed
CRM0007226,CUST000308,2022-01-29,Email,Technical Support,AGENT005,24.0,Resolved,4.0,
CRM0000056,CUST002962,2022-01-29,Email,Technical Support,AGENT031,22.0,Resolved,2.0,Resolved quickly
CRM0004054,CUST003564,2022-01-29,Email,Return Request,AGENT029,57.0,Pending,,Complex issue
CRM0006757,CUST004203,2022-01-29,Social Media,Billing Issue,AGENT028,23.0,Resolved,3.0,Issue escalated
CRM0005189,CUST003632,2022-01-29,Email,Feedback,AGENT038,7.0,Resolved,4.0,Resolved quickly
CRM0001257,CUST002825,2022-01-29,Phone Call,Billing Issue,AGENT010,60.0,Resolved,5.0,Issue escalated
CRM0007169,CUST002891,2022-01-29,Email,Complaint,AGENT015,,Resolved,4.0,Customer satisfied
CRM0006672,CUST000745,2022-01-29,Phone Call,Return Request,AGENT001,26.0,Resolved,2.0,Follow-up needed
CRM0004345,CUST004429,2022-01-29,Chat,Billing Issue,AGENT048,55.0,Pending,,Resolved quickly
CRM0000344,CUST000077,2022-01-29,In-Person,Return Request,AGENT036,14.0,Resolved,3.0,Follow-up needed
CRM0007559,CUST001026,2022-01-29,Email,General Question,AGENT018,48.0,Pending,5.0,Complex issue
CRM0005301,CUST003340,2022-01-29,Chat,Order Status,AGENT014,31.0,Closed,5.0,Resolved quickly
CRM0002848,CUST003044,2022-01-30,Email,Technical Support,AGENT027,,Resolved,4.0,
CRM0001029,CUST000567,2022-01-30,In-Person,Order Status,AGENT037,,Resolved,4.0,Issue escalated
CRM0000943,CUST003245,2022-01-30,In-Person,General Question,AGENT006,14.0,Resolved,4.0,Customer satisfied
CRM0004684,CUST000916,2022-01-30,Social Media,Return Request,AGENT004,46.0,Resolved,3.0,Follow-up needed
CRM0002585,CUST003417,2022-01-30,Phone Call,Technical Support,AGENT015,8.0,Resolved,4.0,Customer satisfied
CRM0000148,CUST002286,2022-01-30,Email,Return Request,AGENT041,18.0,Resolved,5.0,Issue escalated
CRM0007207,CUST000043,2022-01-30,Phone Call,Billing Issue,AGENT010,,Escalated,,
CRM0004618,CUST000436,2022-01-30,Email,General Question,AGENT043,18.0,Escalated,2.0,Complex issue
CRM0005585,CUST000502,2022-01-31,Chat,Return Request,AGENT021,42.0,Pending,3.0,
CRM0006396,CUST001176,2022-01-31,Social Media,Return Request,AGENT008,,Resolved,3.0,Resolved quickly
CRM0005321,CUST000862,2022-02-01,Phone Call,Technical Support,AGENT040,24.0,Resolved,5.0,
CRM0005400,CUST003433,2022-02-01,Email,Technical Support,AGENT003,5.0,Closed,2.0,Follow-up needed
CRM0004173,CUST003642,2022-02-01,Chat,Billing Issue,AGENT016,14.0,Pending,4.0,Resolved quickly
CRM0001378,CUST001882,2022-02-01,Chat,General Question,AGENT004,,Pending,3.0,Resolved quickly
CRM0004055,CUST003010,2022-02-01,Social Media,Product Inquiry,AGENT041,50.0,Resolved,4.0,Issue escalated
CRM0007289,CUST002404,2022-02-01,Email,General Question,AGENT021,27.0,Resolved,3.0,Complex issue
CRM0001048,CUST004603,2022-02-01,In-Person,Order Status,AGENT041,57.0,Resolved,4.0,Follow-up needed
CRM0005431,CUST002124,2022-02-01,Phone Call,Billing Issue,AGENT013,13.0,Resolved,4.0,Follow-up needed
CRM0003651,CUST002372,2022-02-01,Social Media,Order Status,AGENT031,19.0,Pending,4.0,Customer satisfied
CRM0006312,CUST000987,2022-02-02,Social Media,Complaint,AGENT012,2.0,Escalated,2.0,
CRM0006856,CUST004971,2022-02-02,Social Media,Feedback,AGENT028,20.0,Closed,5.0,Resolved quickly
CRM0006810,CUST002911,2022-02-02,Chat,Return Request,AGENT022,32.0,Closed,3.0,
CRM0001344,CUST004545,2022-02-02,Social Media,Complaint,AGENT026,10.0,Escalated,1.0,Follow-up needed
CRM0001601,CUST004414,2022-02-02,Phone Call,Complaint,AGENT019,,Pending,5.0,Customer satisfied
CRM0007833,CUST002570,2022-02-02,Email,Product Inquiry,AGENT039,30.0,Resolved,5.0,Complex issue
CRM0003095,CUST003186,2022-02-03,Chat,Return Request,AGENT012,14.0,Pending,3.0,Complex issue
CRM0003866,CUST002326,2022-02-03,Social Media,Feedback,AGENT046,31.0,Escalated,4.0,
CRM0001494,CUST003911,2022-02-03,Chat,General Question,AGENT024,32.0,Resolved,5.0,
CRM0005807,CUST000429,2022-02-03,Social Media,Complaint,AGENT043,25.0,Closed,5.0,Customer satisfied
CRM0002497,CUST001488,2022-02-03,Email,Technical Support,AGENT026,29.0,Resolved,3.0,
CRM0004614,CUST002174,2022-02-03,Phone Call,Product Inquiry,AGENT008,57.0,Resolved,5.0,
CRM0003842,CUST001434,2022-02-04,In-Person,Billing Issue,AGENT005,,Pending,3.0,Complex issue
CRM0003025,CUST001239,2022-02-04,Phone Call,Product Inquiry,AGENT021,41.0,Closed,5.0,Customer satisfied
CRM0004597,CUST001986,2022-02-04,Chat,Billing Issue,AGENT004,12.0,Resolved,2.0,Follow-up needed
CRM0006789,CUST004481,2022-02-04,Email,General Question,AGENT004,,Closed,,Complex issue
CRM0005484,CUST004137,2022-02-04,Email,Billing Issue,AGENT016,33.0,Resolved,2.0,Issue escalated
CRM0005226,CUST004414,2022-02-04,Chat,Feedback,AGENT047,2.0,Escalated,1.0,Follow-up needed
CRM0007863,CUST002776,2022-02-04,Phone Call,Technical Support,AGENT043,60.0,Pending,3.0,Issue escalated
CRM0001082,CUST001642,2022-02-04,Phone Call,Order Status,AGENT039,58.0,Resolved,2.0,Complex issue
CRM0002390,CUST004235,2022-02-04,Social Media,Billing Issue,AGENT037,,Pending,5.0,Issue escalated
CRM0000557,CUST003289,2022-02-04,Social Media,Return Request,AGENT036,,Pending,4.0,
CRM0001163,CUST001498,2022-02-05,Social Media,General Question,AGENT014,,Resolved,5.0,Resolved quickly
CRM0003950,CUST003514,2022-02-05,Phone Call,Complaint,AGENT012,17.0,Resolved,5.0,Issue escalated
CRM0003189,CUST003840,2022-02-05,Phone Call,Complaint,AGENT033,24.0,Resolved,3.0,Complex issue
CRM0007435,CUST001205,2022-02-05,Phone Call,Technical Support,AGENT043,41.0,Resolved,,Complex issue
CRM0001665,CUST000172,2022-02-05,Social Media,Return Request,AGENT041,54.0,Resolved,4.0,Resolved quickly
CRM0000190,CUST001468,2022-02-05,Email,Technical Support,AGENT032,32.0,Resolved,4.0,Follow-up needed
CRM0004276,CUST003468,2022-02-06,Email,Technical Support,AGENT046,33.0,Pending,4.0,Complex issue
CRM0005414,CUST004512,2022-02-06,Phone Call,Return Request,AGENT003,3.0,Resolved,5.0,Complex issue
CRM0002445,CUST000456,2022-02-06,Phone Call,Billing Issue,AGENT047,,Resolved,,Issue escalated
CRM0007385,CUST001569,2022-02-06,Phone Call,Product Inquiry,AGENT006,48.0,Closed,4.0,Customer satisfied
CRM0002872,CUST001627,2022-02-06,Phone Call,Billing Issue,AGENT003,,Escalated,4.0,Resolved quickly
CRM0005421,CUST002601,2022-02-06,Social Media,Product Inquiry,AGENT017,,Resolved,5.0,
CRM0001713,CUST001247,2022-02-07,Phone Call,Feedback,AGENT007,24.0,Resolved,4.0,Customer satisfied
CRM0000891,CUST000325,2022-02-07,In-Person,General Question,AGENT034,44.0,Closed,3.0,Complex issue
CRM0006565,CUST004752,2022-02-07,Chat,Billing Issue,AGENT044,,Resolved,,Customer satisfied
CRM0004926,CUST003719,2022-02-07,Chat,Billing Issue,AGENT028,48.0,Resolved,4.0,Follow-up needed
CRM0006566,CUST000345,2022-02-07,In-Person,Feedback,AGENT018,8.0,Resolved,1.0,Resolved quickly
