interaction_id,customer_id,interaction_date,interaction_type,reason,sentiment,resolution_status,agent_id,duration_minutes,satisfaction_score
INT0000091,CUST002682,2022-12-16 15:00:00,Social Media,Feedback,Negative,Closed,AGENT046,20,
INT0000092,CUST001083,2023-09-28 14:00:00,Chat,Support,Negative,Resolved,AGENT021,18,
INT0000093,CUST003389,2022-06-01 07:00:00,Social Media,Inquiry,Negative,Closed,AGENT011,37,
INT0000094,CUST004891,2024-03-16 05:00:00,Email,Feedback,Neutral,Closed,AGENT030,26,
INT0000095,CUST002689,2023-11-20 09:00:00,Chat,Support,Negative,Escalated,AGENT022,19,
INT0000096,CUST000882,2023-02-17 19:00:00,Chat,Complaint,Neutral,Pending,AGENT042,34,
INT0000097,CUST000225,2023-09-28 06:00:00,Chat,Complaint,Positive,Closed,AGENT021,39,1.0
INT0000098,CUST003437,2022-01-31 21:00:00,Email,Feedback,Neutral,Closed,AGENT029,44,4.0
INT0000099,CUST004896,2024-05-06 10:00:00,Email,Return Request,Negative,Escalated,AGENT007,40,4.0
INT0000100,CUST004764,2023-09-16 08:00:00,Store Visit,Complaint,Positive,Closed,AGENT011,11,2.0
INT0000101,CUST003793,2022-11-01 13:00:00,Email,Support,Positive,Escalated,AGENT034,10,3.0
INT0000102,CUST004902,2024-01-20 15:00:00,Store Visit,Feedback,Positive,Escalated,AGENT025,31,4.0
INT0000103,CUST002453,2023-10-12 16:00:00,Store Visit,Support,Negative,Closed,AGENT017,39,
INT0000104,CUST000831,2024-05-06 21:00:00,Email,Complaint,Negative,Closed,AGENT039,6,4.0
INT0000105,CUST002815,2023-04-25 16:00:00,Store Visit,Return Request,Neutral,Closed,AGENT011,2,2.0
INT0000106,CUST004673,2024-09-23 15:00:00,Chat,Inquiry,Neutral,Closed,AGENT028,30,1.0
INT0000107,CUST003707,2024-02-26 04:00:00,Chat,Return Request,Negative,Escalated,AGENT021,20,
INT0000108,CUST000371,2024-02-23 07:00:00,Phone Call,Inquiry,Negative,Closed,AGENT042,24,1.0
INT0000109,CUST002101,2022-12-02 06:00:00,Social Media,Inquiry,Negative,Escalated,AGENT015,22,5.0
INT0000110,CUST004345,2023-03-20 22:00:00,Phone Call,Feedback,Neutral,Resolved,AGENT022,4,
INT0000111,CUST001059,2022-03-31 05:00:00,Social Media,Support,Positive,Resolved,AGENT042,10,2.0
INT0000112,CUST000868,2022-06-27 04:00:00,Email,Feedback,Negative,Closed,AGENT006,7,3.0
INT0000113,CUST000958,2024-04-10 05:00:00,Social Media,Complaint,Neutral,Escalated,AGENT016,26,1.0
INT0000114,CUST003511,2024-02-12 02:00:00,Social Media,Complaint,Neutral,Pending,AGENT033,8,4.0
INT0000115,CUST001215,2022-11-30 22:00:00,Social Media,Support,Neutral,Closed,AGENT013,8,
INT0000116,CUST000605,2024-08-11 17:00:00,Store Visit,Return Request,Negative,Resolved,AGENT047,43,1.0
INT0000117,CUST002513,2022-05-20 01:00:00,Chat,Return Request,Negative,Resolved,AGENT007,30,1.0
INT0000118,CUST004553,2022-12-11 00:00:00,Chat,Return Request,Negative,Escalated,AGENT001,34,5.0
INT0000119,CUST001965,2024-01-28 23:00:00,Phone Call,Inquiry,Positive,Pending,AGENT005,8,2.0
INT0000120,CUST000762,2022-06-09 21:00:00,Store Visit,Return Request,Negative,Escalated,AGENT001,16,3.0
INT0000121,CUST003720,2022-04-22 17:00:00,Phone Call,Feedback,Neutral,Pending,AGENT038,14,
INT0000122,CUST003621,2024-04-07 23:00:00,Email,Inquiry,Neutral,Escalated,AGENT011,45,2.0
INT0000123,CUST004095,2024-05-09 17:00:00,Email,Complaint,Neutral,Pending,AGENT041,14,3.0
INT0000124,CUST001407,2023-11-24 03:00:00,Social Media,Support,Neutral,Resolved,AGENT011,32,5.0
INT0000125,CUST003288,2023-06-29 09:00:00,Store Visit,Feedback,Negative,Pending,AGENT016,35,
INT0000126,CUST003014,2023-06-14 16:00:00,Store Visit,Inquiry,Positive,Closed,AGENT008,41,1.0
INT0000127,CUST002426,2022-12-04 03:00:00,Social Media,Support,Neutral,Escalated,AGENT026,35,3.0
INT0000128,CUST003738,2024-05-03 20:00:00,Email,Feedback,Neutral,Resolved,AGENT008,14,2.0
INT0000129,CUST002139,2023-12-30 19:00:00,Email,Complaint,Neutral,Resolved,AGENT050,31,5.0
INT0000130,CUST000638,2023-10-21 15:00:00,Phone Call,Feedback,Negative,Resolved,AGENT010,28,3.0
INT0000131,CUST001562,2023-07-26 10:00:00,Store Visit,Support,Neutral,Resolved,AGENT020,2,5.0
INT0000132,CUST000285,2022-11-27 17:00:00,Phone Call,Return Request,Positive,Closed,AGENT043,13,5.0
INT0000133,CUST001808,2023-05-03 19:00:00,Phone Call,Inquiry,Positive,Pending,AGENT031,3,4.0
INT0000134,CUST004898,2023-02-06 07:00:00,Email,Return Request,Neutral,Resolved,AGENT027,11,2.0
INT0000135,CUST002581,2022-12-03 18:00:00,Social Media,Complaint,Positive,Closed,AGENT045,41,
INT0000136,CUST001150,2022-07-08 01:00:00,Email,Complaint,Neutral,Resolved,AGENT033,27,2.0
INT0000137,CUST001330,2023-03-17 00:00:00,Chat,Inquiry,Negative,Pending,AGENT010,36,
INT0000138,CUST004608,2022-04-07 21:00:00,Store Visit,Return Request,Positive,Closed,AGENT042,27,
INT0000139,CUST004636,2024-09-03 01:00:00,Store Visit,Return Request,Neutral,Escalated,AGENT044,10,3.0
INT0000140,CUST001692,2024-06-09 16:00:00,Email,Inquiry,Neutral,Pending,AGENT041,32,5.0
INT0000141,CUST000225,2023-01-26 10:00:00,Store Visit,Return Request,Neutral,Resolved,AGENT014,33,
INT0000142,CUST000534,2023-11-26 12:00:00,Store Visit,Inquiry,Negative,Closed,AGENT034,5,
INT0000143,CUST000355,2022-07-15 08:00:00,Store Visit,Return Request,Positive,Pending,AGENT032,41,
INT0000144,CUST004707,2023-04-09 19:00:00,Email,Inquiry,Negative,Closed,AGENT022,26,2.0
INT0000145,CUST001847,2024-08-21 20:00:00,Email,Support,Neutral,Escalated,AGENT040,19,3.0
INT0000146,CUST001485,2022-04-19 15:00:00,Store Visit,Complaint,Negative,Pending,AGENT013,40,4.0
INT0000147,CUST001085,2023-03-28 16:00:00,Chat,Complaint,Positive,Resolved,AGENT018,24,1.0
INT0000148,CUST003705,2024-01-12 14:00:00,Store Visit,Complaint,Positive,Resolved,AGENT008,8,1.0
INT0000149,CUST004425,2022-07-30 02:00:00,Social Media,Support,Neutral,Pending,AGENT035,18,
INT0000150,CUST001780,2024-02-28 16:00:00,Social Media,Feedback,Negative,Pending,AGENT007,37,1.0
INT0000151,CUST004999,2022-06-24 00:00:00,Email,Feedback,Negative,Resolved,AGENT014,12,2.0
INT0000152,CUST001456,2023-08-26 22:00:00,Phone Call,Inquiry,Positive,Closed,AGENT047,25,
INT0000153,CUST003098,2022-03-13 04:00:00,Email,Feedback,Negative,Escalated,AGENT009,24,4.0
INT0000154,CUST002671,2023-02-25 16:00:00,Email,Inquiry,Positive,Closed,AGENT039,29,
INT0000155,CUST000219,2022-12-02 22:00:00,Store Visit,Feedback,Negative,Pending,AGENT032,37,3.0
INT0000156,CUST002416,2024-01-05 10:00:00,Chat,Inquiry,Positive,Escalated,AGENT034,33,
INT0000157,CUST000448,2023-11-20 21:00:00,Chat,Feedback,Negative,Resolved,AGENT023,18,1.0
INT0000158,CUST001993,2024-02-16 10:00:00,Chat,Feedback,Neutral,Resolved,AGENT040,30,2.0
INT0000159,CUST001837,2022-12-05 18:00:00,Chat,Feedback,Positive,Resolved,AGENT004,36,
INT0000160,CUST002808,2024-09-10 01:00:00,Phone Call,Return Request,Neutral,Escalated,AGENT036,12,
INT0000161,CUST004018,2024-06-18 10:00:00,Store Visit,Feedback,Positive,Closed,AGENT011,20,4.0
INT0000162,CUST003064,2024-02-01 13:00:00,Store Visit,Return Request,Negative,Resolved,AGENT045,7,1.0
INT0000163,CUST004866,2022-10-02 10:00:00,Email,Return Request,Negative,Pending,AGENT006,13,5.0
INT0000164,CUST003904,2022-01-25 17:00:00,Social Media,Support,Negative,Closed,AGENT037,43,5.0
INT0000165,CUST000556,2023-05-15 17:00:00,Chat,Inquiry,Negative,Closed,AGENT001,40,
INT0000166,CUST000361,2024-03-14 04:00:00,Chat,Feedback,Neutral,Resolved,AGENT041,30,
INT0000167,CUST003687,2022-09-27 18:00:00,Store Visit,Complaint,Neutral,Escalated,AGENT016,34,4.0
INT0000168,CUST002336,2023-01-10 06:00:00,Chat,Support,Positive,Closed,AGENT045,44,2.0
INT0000169,CUST000402,2022-12-28 04:00:00,Store Visit,Return Request,Positive,Resolved,AGENT032,7,3.0
INT0000170,CUST000695,2024-08-08 22:00:00,Email,Return Request,Negative,Closed,AGENT049,41,2.0
INT0000171,CUST004423,2022-09-09 17:00:00,Chat,Feedback,Neutral,Resolved,AGENT042,35,
INT0000172,CUST000729,2022-04-23 01:00:00,Social Media,Inquiry,Negative,Resolved,AGENT030,15,3.0
INT0000173,CUST000425,2022-06-28 05:00:00,Social Media,Feedback,Neutral,Closed,AGENT017,12,
INT0000174,CUST004769,2023-05-17 06:00:00,Chat,Complaint,Neutral,Pending,AGENT015,8,
INT0000175,CUST004368,2024-03-14 08:00:00,Email,Inquiry,Negative,Closed,AGENT050,24,5.0
INT0000176,CUST001717,2023-02-17 12:00:00,Store Visit,Complaint,Positive,Closed,AGENT044,2,3.0
INT0000177,CUST001443,2022-03-12 21:00:00,Store Visit,Complaint,Neutral,Closed,AGENT048,18,3.0
INT0000178,CUST000859,2022-02-21 22:00:00,Social Media,Return Request,Negative,Escalated,AGENT038,14,1.0
INT0000179,CUST001437,2024-06-25 04:00:00,Email,Feedback,Positive,Resolved,AGENT038,37,1.0
INT0000180,CUST002826,2023-04-27 20:00:00,Chat,Inquiry,Positive,Resolved,AGENT019,29,2.0
INT0000181,CUST002088,2022-08-30 22:00:00,Social Media,Inquiry,Negative,Closed,AGENT045,28,3.0
INT0000182,CUST003484,2023-03-07 20:00:00,Chat,Return Request,Positive,Pending,AGENT017,39,
INT0000183,CUST004664,2023-12-16 12:00:00,Store Visit,Feedback,Positive,Escalated,AGENT005,38,4.0
INT0000184,CUST004816,2023-08-13 14:00:00,Phone Call,Inquiry,Neutral,Escalated,AGENT042,16,
INT0000185,CUST004207,2024-07-26 02:00:00,Chat,Support,Neutral,Escalated,AGENT027,15,2.0
INT0000186,CUST002646,2024-02-14 16:00:00,Phone Call,Inquiry,Neutral,Resolved,AGENT011,30,2.0
INT0000187,CUST002357,2024-04-05 09:00:00,Chat,Inquiry,Neutral,Resolved,AGENT042,44,5.0
INT0000188,CUST003864,2024-06-30 01:00:00,Store Visit,Inquiry,Positive,Escalated,AGENT026,31,4.0
INT0000189,CUST001131,2024-06-30 09:00:00,Email,Support,Negative,Escalated,AGENT040,33,
INT0000190,CUST003219,2024-06-14 14:00:00,Store Visit,Feedback,Neutral,Closed,AGENT009,8,5.0
INT0000191,CUST002352,2024-04-29 14:00:00,Email,Feedback,Positive,Pending,AGENT035,14,
INT0000192,CUST003888,2022-04-07 21:00:00,Phone Call,Complaint,Negative,Pending,AGENT037,25,5.0
INT0000193,CUST004852,2022-09-21 01:00:00,Chat,Complaint,Positive,Resolved,AGENT003,31,5.0
INT0000194,CUST004527,2024-06-08 16:00:00,Email,Support,Negative,Pending,AGENT019,45,1.0
INT0000195,CUST003708,2022-03-31 05:00:00,Store Visit,Inquiry,Negative,Closed,AGENT033,25,
INT0000196,CUST001759,2023-02-22 03:00:00,Phone Call,Inquiry,Positive,Resolved,AGENT036,25,3.0
INT0000197,CUST002176,2023-09-28 09:00:00,Email,Support,Neutral,Resolved,AGENT041,23,4.0
INT0000198,CUST004190,2022-08-20 18:00:00,Social Media,Feedback,Positive,Resolved,AGENT024,12,
INT0000199,CUST000231,2023-09-11 10:00:00,Phone Call,Return Request,Neutral,Escalated,AGENT026,7,
INT0000200,CUST000708,2022-12-12 03:00:00,Store Visit,Return Request,Neutral,Pending,AGENT043,5,5.0
INT0000201,CUST003755,2023-07-03 23:00:00,Store Visit,Support,Neutral,Escalated,AGENT039,28,
INT0000202,CUST000434,2024-08-10 00:00:00,Email,Inquiry,Negative,Escalated,AGENT019,19,
INT0000203,CUST002050,2024-05-15 05:00:00,Store Visit,Feedback,Positive,Resolved,AGENT026,9,3.0
INT0000204,CUST000487,2022-11-26 10:00:00,Chat,Return Request,Neutral,Escalated,AGENT004,37,4.0
INT0000205,CUST003204,2022-10-19 05:00:00,Phone Call,Feedback,Neutral,Escalated,AGENT029,45,1.0
INT0000206,CUST001349,2024-04-17 18:00:00,Store Visit,Complaint,Positive,Resolved,AGENT030,33,
INT0000207,CUST002035,2024-09-23 13:00:00,Social Media,Complaint,Positive,Pending,AGENT007,28,
INT0000208,CUST003639,2023-11-07 10:00:00,Store Visit,Return Request,Positive,Pending,AGENT041,15,
INT0000209,CUST001866,2022-10-17 11:00:00,Email,Complaint,Neutral,Closed,AGENT009,22,4.0
INT0000210,CUST002147,2024-07-21 01:00:00,Email,Return Request,Neutral,Escalated,AGENT045,21,5.0
INT0000211,CUST004340,2022-03-23 05:00:00,Phone Call,Feedback,Negative,Resolved,AGENT012,18,5.0
INT0000212,CUST004108,2024-01-15 16:00:00,Email,Complaint,Neutral,Escalated,AGENT048,27,4.0
INT0000213,CUST004276,2024-07-26 13:00:00,Email,Inquiry,Negative,Closed,AGENT031,22,5.0
INT0000214,CUST001250,2023-12-13 10:00:00,Store Visit,Complaint,Negative,Closed,AGENT035,37,5.0
INT0000215,CUST003877,2022-01-03 17:00:00,Store Visit,Return Request,Negative,Closed,AGENT038,40,
INT0000216,CUST001604,2024-06-29 02:00:00,Phone Call,Return Request,Negative,Closed,AGENT036,31,4.0
INT0000217,CUST004694,2024-06-22 19:00:00,Email,Support,Neutral,Resolved,AGENT018,40,4.0
INT0000218,CUST004740,2022-08-16 22:00:00,Phone Call,Feedback,Positive,Pending,AGENT036,12,
INT0000219,CUST002795,2022-12-10 12:00:00,Email,Return Request,Positive,Closed,AGENT004,31,4.0
INT0000220,CUST004970,2023-05-28 15:00:00,Chat,Return Request,Negative,Pending,AGENT020,38,3.0
INT0000221,CUST003042,2024-01-30 04:00:00,Social Media,Return Request,Positive,Escalated,AGENT021,17,2.0
INT0000222,CUST000470,2022-04-29 02:00:00,Phone Call,Feedback,Negative,Escalated,AGENT022,20,2.0
INT0000223,CUST003770,2024-05-22 08:00:00,Chat,Complaint,Negative,Pending,AGENT005,24,
INT0000224,CUST001415,2024-03-11 15:00:00,Store Visit,Complaint,Positive,Closed,AGENT012,26,
INT0000225,CUST001417,2023-11-21 23:00:00,Chat,Complaint,Negative,Resolved,AGENT017,8,2.0
INT0000226,CUST000577,2022-11-14 08:00:00,Phone Call,Inquiry,Positive,Resolved,AGENT040,19,3.0
INT0000227,CUST000980,2023-06-28 02:00:00,Social Media,Inquiry,Neutral,Escalated,AGENT038,4,2.0
INT0000228,CUST004124,2024-07-04 20:00:00,Email,Return Request,Positive,Escalated,AGENT004,4,3.0
INT0000229,CUST000463,2024-02-06 15:00:00,Email,Return Request,Negative,Resolved,AGENT009,12,3.0
INT0000230,CUST003108,2024-09-12 08:00:00,Store Visit,Return Request,Negative,Closed,AGENT013,41,2.0
INT0000231,CUST002173,2022-10-30 23:00:00,Chat,Return Request,Negative,Escalated,AGENT046,22,
INT0000232,CUST004075,2024-08-02 20:00:00,Email,Inquiry,Negative,Escalated,AGENT041,43,2.0
INT0000233,CUST000206,2022-08-13 16:00:00,Social Media,Complaint,Negative,Escalated,AGENT032,44,1.0
INT0000234,CUST003296,2023-05-16 01:00:00,Phone Call,Support,Neutral,Escalated,AGENT029,43,2.0
INT0000235,CUST004853,2022-10-19 18:00:00,Email,Return Request,Negative,Pending,AGENT038,8,5.0
INT0000236,CUST001531,2022-01-02 04:00:00,Chat,Inquiry,Positive,Pending,AGENT008,8,5.0
INT0000237,CUST000727,2023-08-17 17:00:00,Phone Call,Complaint,Neutral,Escalated,AGENT028,21,4.0
INT0000238,CUST000652,2023-01-04 11:00:00,Store Visit,Return Request,Positive,Closed,AGENT001,32,3.0
INT0000239,CUST002095,2023-03-28 20:00:00,Email,Return Request,Neutral,Escalated,AGENT021,40,4.0
INT0000240,CUST004735,2022-07-02 18:00:00,Phone Call,Complaint,Positive,Escalated,AGENT016,25,
INT0000241,CUST003486,2023-01-24 03:00:00,Chat,Complaint,Neutral,Resolved,AGENT020,18,
INT0000242,CUST002137,2023-11-27 02:00:00,Email,Inquiry,Negative,Resolved,AGENT004,14,
INT0000243,CUST002960,2023-03-09 09:00:00,Phone Call,Feedback,Neutral,Pending,AGENT035,3,4.0
INT0000244,CUST002407,2023-04-01 15:00:00,Store Visit,Feedback,Neutral,Pending,AGENT001,42,
INT0000245,CUST004279,2022-11-26 03:00:00,Chat,Feedback,Positive,Resolved,AGENT023,6,2.0
INT0000246,CUST001080,2022-07-30 20:00:00,Store Visit,Support,Neutral,Escalated,AGENT005,25,4.0
INT0000247,CUST004711,2024-02-08 16:00:00,Email,Feedback,Neutral,Escalated,AGENT034,11,2.0
INT0000248,CUST001450,2024-09-11 04:00:00,Phone Call,Feedback,Neutral,Resolved,AGENT031,6,
INT0000249,CUST004075,2024-04-24 03:00:00,Phone Call,Return Request,Negative,Pending,AGENT027,43,4.0
INT0000250,CUST001981,2023-06-18 16:00:00,Phone Call,Feedback,Neutral,Pending,AGENT034,7,5.0
INT0000251,CUST002825,2023-06-14 15:00:00,Store Visit,Support,Neutral,Closed,AGENT035,30,5.0
INT0000252,CUST004379,2022-09-24 07:00:00,Chat,Return Request,Neutral,Closed,AGENT034,43,3.0
INT0000253,CUST003256,2023-05-21 11:00:00,Chat,Feedback,Positive,Closed,AGENT004,12,1.0
INT0000254,CUST003976,2023-06-29 00:00:00,Email,Inquiry,Negative,Pending,AGENT005,6,
